time,case_id,employee,selected,material_known,social_d,social_e,pending_d,pending_e,recent_d,recent_e,success_d,success_e,failure_d,failure_e,p_d,p_e,cost_d,cost_e,utilities
0,2:0,2,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41197079496082845,0.4683103840868439,0.2631195786566093,0.18530955760014894,wait:0.000000;d:0.107788;e:0.236322;d+e:0.167723
0,3:0,3,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7012846419844834,0.6128679237523356,0.2658141629574809,0.3421680513814242,wait:0.000000;d:0.365570;e:0.209612;d+e:0.206797
0,4:0,4,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6134939162452191,0.6434168944540841,0.0931582133250654,0.3081183566110844,wait:0.000000;d:0.459185;e:0.271166;d+e:0.390387
0,5:0,5,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5711328982886554,0.40798145905146355,0.2639240822345544,0.40927658994266675,wait:0.000000;d:0.250281
0,7:0,7,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5768540343874118,0.36285187506581434,0.26378219323620805,0.14589476006045327,wait:0.000000;d:0.255574;e:0.180790;d+e:0.246698
0,8:0,8,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4915794095525231,0.4316094770491315,0.26897823763039225,0.2610303882394388,wait:0.000000;d:0.173603;e:0.127558;d+e:0.109179
0,10:0,10,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5147509926299424,0.32494758391717055,0.22542131329577003,0.3757287643844844,wait:0.000000;d:0.238022;e:-0.083170;d+e:-0.000733
0,12:0,12,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343845548087125,0.5969068951668594,0.2683710134305787,0.21841271796935496,wait:0.000000;d:0.302781;e:0.318997;d+e:0.294835
0,15:0,15,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7409231943614536,0.47006056998838386,0.24868062735076762,0.22097621163406084,wait:0.000000;d:0.418391;e:0.202231;d+e:0.318312
0,16:0,16,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782109202493442,0.40961789544902205,0.1341107593650732,0.19086217131100167,wait:0.000000;d:0.386467
0,17:0,17,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337842401883934,0.4940366936275521,0.18986681625049356,0.1773972015425624,wait:0.000000;d:0.380745;e:0.267396;d+e:0.374337
0,18:0,18,d+e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36554959741853243,0.415852365145589,0.1636443576163653,0.20159273423979746,wait:0.000000;d:0.165469;e:0.172809;d+e:0.195058
0,20:0,20,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664950221095083,0.6126383028244748,0.15126403642668912,0.23575633653613837,wait:0.000000;d:0.448798;e:0.315817;d+e:0.413637
0,22:0,22,d,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5453871614852659,0.458730651686604,0.11926228296000783,0.3822785619855366,wait:0.000000;d:0.371763;e:0.030728;d+e:0.179694
