time,case_id,employee,event
0,5:0,5,dispute_created
0,6:0,6,dispute_created
0,8:0,8,dispute_created
0,11:0,11,dispute_created
0,12:0,12,dispute_created
0,17:0,17,dispute_created
0,21:0,21,dispute_created
0,24:0,24,dispute_created
0,30:0,30,dispute_created
0,37:0,37,dispute_created
0,39:0,39,dispute_created
0,42:0,42,dispute_created
0,49:0,49,dispute_created
0,52:0,52,dispute_created
0,58:0,58,dispute_created
0,59:0,59,dispute_created
0,61:0,61,dispute_created
0,62:0,62,dispute_created
0,68:0,68,dispute_created
0,70:0,70,dispute_created
0,73:0,73,dispute_created
0,76:0,76,dispute_created
0,78:0,78,dispute_created
0,89:0,89,dispute_created
0,91:0,91,dispute_created
0,101:0,101,dispute_created
0,102:0,102,dispute_created
0,106:0,106,dispute_created
0,107:0,107,dispute_created
0,108:0,108,dispute_created
0,117:0,117,dispute_created
0,118:0,118,dispute_created
0,5:0,5,domestic_received
0,6:0,6,customer_received
0,8:0,8,domestic_received
0,11:0,11,domestic_received
0,12:0,12,domestic_received
0,17:0,17,customer_received
0,21:0,21,customer_received
0,24:0,24,domestic_received
0,30:0,30,domestic_received
0,37:0,37,domestic_received
0,39:0,39,domestic_received
0,42:0,42,customer_received
0,49:0,49,customer_received
0,52:0,52,domestic_received
0,58:0,58,customer_received
0,59:0,59,domestic_received
0,61:0,61,customer_received
0,62:0,62,domestic_received
0,62:0,62,customer_received
0,68:0,68,customer_received
0,70:0,70,domestic_received
0,73:0,73,domestic_received
0,73:0,73,customer_received
0,76:0,76,domestic_received
0,78:0,78,domestic_received
0,89:0,89,domestic_received
0,91:0,91,customer_received
0,101:0,101,domestic_received
0,102:0,102,domestic_received
0,106:0,106,domestic_received
0,107:0,107,domestic_received
0,108:0,108,domestic_received
0,117:0,117,domestic_received
0,118:0,118,domestic_received
1,28:1,28,dispute_created
1,50:1,50,dispute_created
1,116:1,116,dispute_created
1,28:1,28,domestic_received
1,28:1,28,customer_received
1,50:1,50,customer_received
1,116:1,116,customer_received
2,10:2,10,dispute_created
2,34:2,34,dispute_created
2,43:2,43,dispute_created
2,84:2,84,dispute_created
2,10:2,10,customer_received
2,34:2,34,domestic_received
2,43:2,43,domestic_received
2,84:2,84,customer_received
2,5:0,5,domestic_responded
2,5:0,5,domestic_material_not_issued
2,5:0,5,domestic_no_remedy
2,8:0,8,domestic_responded
2,8:0,8,domestic_material_not_issued
2,8:0,8,domestic_no_remedy
2,11:0,11,domestic_responded
2,11:0,11,domestic_material_issued
2,11:0,11,domestic_no_remedy
2,12:0,12,domestic_responded
2,12:0,12,domestic_material_issued
2,12:0,12,domestic_no_remedy
2,24:0,24,domestic_responded
2,24:0,24,domestic_material_not_issued
2,24:0,24,domestic_no_remedy
2,30:0,30,domestic_responded
2,30:0,30,domestic_material_not_issued
2,30:0,30,domestic_no_remedy
2,37:0,37,domestic_responded
2,37:0,37,domestic_material_not_issued
2,37:0,37,domestic_remedy_supported
2,39:0,39,domestic_responded
2,39:0,39,domestic_material_issued
2,39:0,39,domestic_no_remedy
2,52:0,52,domestic_responded
2,52:0,52,domestic_material_issued
2,52:0,52,domestic_no_remedy
2,59:0,59,domestic_responded
