seed,policy,domestic_capacity,active_customers,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share,d_eligible_rounds,e_eligible_rounds
0,equal,2,6,44,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0,69,69,58,58,0.8405797101449275,0.8405797101449275,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7962962962962963,8.13953488372093,0.25862068965517243,0.5172413793103449,0.4727272727272727,0.0,0.6081456835881041,0.495442009634657,0.4782608695652174,0.4782608695652174,0.4827586206896552,13.472222222222221,12.0,1970,1081,1.0,0.8405797101449275,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,43,6,0.6231884057971014,0.08695652173913043,0.7962962962962963,1.0,0.8405797101449275,0.5217391304347826,876,4
0,equal,2,3,44,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,37,69,69,0,0,69,68,57,56,0.8260869565217391,0.8260869565217391,0.9855072463768116,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7777777777777778,8.19047619047619,0.2982456140350877,0.543859649122807,0.43636363636363634,0.0,0.60190872037308,0.49698306538215126,0.463768115942029,0.463768115942029,0.45614035087719296,13.45945945945946,13.0,1938,1052,0.9855072463768116,0.8260869565217391,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,42,5,0.6086956521739131,0.07246376811594203,0.7777777777777778,0.8333333333333334,0.8115942028985508,0.5362318840579711,848,27
0,equal,2,1,44,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0,69,68,57,56,0.8260869565217391,0.8260869565217391,0.9855072463768116,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7777777777777778,8.214285714285714,0.2631578947368421,0.5263157894736842,0.5714285714285714,0.0,0.60190872037308,0.49698306538215126,0.4782608695652174,0.4782608695652174,0.47368421052631576,15.277777777777779,14.5,2035,1237,0.9855072463768116,0.8260869565217391,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,42,5,0.6086956521739131,0.07246376811594203,0.7777777777777778,0.8333333333333334,0.8115942028985508,0.5217391304347826,913,334
0,degree,2,6,44,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0,69,69,58,58,0.8405797101449275,0.8405797101449275,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7962962962962963,8.13953488372093,0.25862068965517243,0.5172413793103449,0.4727272727272727,0.0,0.6081456835881041,0.495442009634657,0.4782608695652174,0.4782608695652174,0.4827586206896552,13.472222222222221,12.0,1970,1081,1.0,0.8405797101449275,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,43,6,0.6231884057971014,0.08695652173913043,0.7962962962962963,1.0,0.8405797101449275,0.5217391304347826,876,4
0,degree,2,3,44,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,35,69,69,0,0,69,69,58,58,0.8405797101449275,0.8405797101449275,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7962962962962963,8.116279069767442,0.27586206896551724,0.5,0.4909090909090909,0.0,0.6081456835881041,0.495442009634657,0.4927536231884058,0.4927536231884058,0.5,12.228571428571428,12.0,1958,1053,1.0,0.8405797101449275,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,43,6,0.6231884057971014,0.08695652173913043,0.7962962962962963,1.0,0.8405797101449275,0.5072463768115942,849,3
0,degree,2,1,44,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,37,69,69,0,0,69,69,58,58,0.8405797101449275,0.8405797101449275,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7962962962962963,8.116279069767442,0.3103448275862069,0.5517241379310345,0.5178571428571429,0.0,0.6081456835881041,0.495442009634657,0.463768115942029,0.463768115942029,0.4482758620689655,12.864864864864865,12.0,1916,1042,1.0,0.8405797101449275,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,43,6,0.6231884057971014,0.08695652173913043,0.7962962962962963,1.0,0.8405797101449275,0.5362318840579711,838,3
0,pooled,2,6,44,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,37,69,69,0,0,69,69,58,58,0.8405797101449275,0.8405797101449275,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7962962962962963,8.116279069767442,0.3103448275862069,0.5517241379310345,0.5178571428571429,0.0,0.6081456835881041,0.495442009634657,0.463768115942029,0.463768115942029,0.4482758620689655,12.864864864864865,12.0,1916,1042,1.0,0.8405797101449275,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,43,6,0.6231884057971014,0.08695652173913043,0.7962962962962963,1.0,0.8405797101449275,0.5362318840579711,838,3
0,pooled,2,3,44,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,37,69,69,0,0,69,69,58,58,0.8405797101449275,0.8405797101449275,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7962962962962963,8.116279069767442,0.3103448275862069,0.5517241379310345,0.5178571428571429,0.0,0.6081456835881041,0.495442009634657,0.463768115942029,0.463768115942029,0.4482758620689655,12.864864864864865,12.0,1916,1042,1.0,0.8405797101449275,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,43,6,0.6231884057971014,0.08695652173913043,0.7962962962962963,1.0,0.8405797101449275,0.5362318840579711,838,3
0,pooled,2,1,44,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,37,69,69,0,0,69,69,58,58,0.8405797101449275,0.8405797101449275,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.7962962962962963,8.116279069767442,0.3103448275862069,0.5517241379310345,0.5178571428571429,0.0,0.6081456835881041,0.495442009634657,0.463768115942029,0.463768115942029,0.4482758620689655,12.864864864864865,12.0,1916,1042,1.0,0.8405797101449275,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,43,6,0.6231884057971014,0.08695652173913043,0.7962962962962963,1.0,0.8405797101449275,0.5362318840579711,838,3
0,equal,6,6,44,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,36,69,69,0,0,69,69,45,45,0.6521739130434783,0.6521739130434783,1.0,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.5555555555555556,6.766666666666667,0.2222222222222222,0.4,0.3953488372093023,0.0,0.586581297998519,0.48872495694976753,0.4782608695652174,0.4782608695652174,0.6,7.222222222222222,7.0,1745,541,1.0,0.6521739130434783,0.782608695652174,0.08695652173913043,0.13043478260869565,0.0,30,6,0.43478260869565216,0.08695652173913043,0.5555555555555556,1.0,0.6521739130434783,0.5217391304347826,316,5
