block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share
horizon_double,customer_only,4,89,0,0,0,0,0,0,75,0,45,30,0,0,0,0,0,0,0,7,37,82,0,0,37,0,37,0,0.45121951219512196,1.0,0.0,0.0,1.0,0.0,0.5487804878048781,,,0.1891891891891892,0.1891891891891892,0.3783783783783784,0.0,0.6011219814029054,0.5037244825859163,0.9146341463414634,0.8108108108108109,0.8108108108108109,4.0,4.0,6778,128,0.0,0.45121951219512196,0.0,0.45121951219512196,0.0,0.5487804878048781,0,0,0.0,0.0,,0.0,0.0,0.08536585365853659
horizon_double,both,4,89,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,43,82,82,0,0,82,80,30,28,0.36585365853658536,0.36585365853658536,0.975609756097561,0.8658536585365854,0.07317073170731707,0.06097560975609756,0.0,0.2676056338028169,5.684210526315789,0.3333333333333333,0.5,0.5172413793103449,0.0,0.6089515547188384,0.4999761119140152,0.47560975609756095,0.47560975609756095,0.5,5.8604651162790695,6.0,3762,458,0.975609756097561,0.36585365853658536,0.8658536585365854,0.07317073170731707,0.06097560975609756,0.0,19,4,0.23170731707317074,0.04878048780487805,0.2676056338028169,0.6666666666666666,0.34146341463414637,0.524390243902439
horizon_double,domestic_only,5,89,0,0,0,0,0,0,60,0,0,60,0,0,0,0,0,0,0,25,85,85,0,0,85,85,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7058823529411765,0.7058823529411765,,6.44,7.0,5561,462,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.29411764705882354
horizon_double,customer_only,5,89,0,0,0,0,0,0,73,0,32,41,0,0,0,0,0,0,0,12,53,85,0,0,53,0,53,0,0.6235294117647059,1.0,0.0,0.0,1.0,0.0,0.3764705882352941,,,0.22641509433962265,0.22641509433962265,0.32075471698113206,0.0,0.5801088026390481,0.48625665777520755,0.8588235294117647,0.7735849056603774,0.7735849056603774,4.833333333333333,5.0,6629,212,0.0,0.6235294117647059,0.0,0.6235294117647059,0.0,0.3764705882352941,0,0,0.0,0.0,,0.0,0.0,0.1411764705882353
horizon_double,both,5,89,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0,0,0,36,85,85,0,0,85,84,39,38,0.4588235294117647,0.4588235294117647,0.9882352941176471,0.8352941176470589,0.09411764705882353,0.07058823529411765,0.0,0.352112676056338,5.84,0.2564102564102564,0.358974358974359,0.4358974358974359,0.0,0.553358151137989,0.4791363213726523,0.5764705882352941,0.5764705882352941,0.6410256410256411,6.25,6.0,4635,494,0.9882352941176471,0.4588235294117647,0.8352941176470589,0.09411764705882353,0.07058823529411765,0.0,25,7,0.29411764705882354,0.08235294117647059,0.352112676056338,0.875,0.4470588235294118,0.4235294117647059
horizon_double,domestic_only,6,89,0,0,0,0,0,0,57,0,0,57,0,0,0,0,0,0,0,29,86,86,0,0,86,86,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6627906976744186,0.6627906976744186,,6.275862068965517,7.0,5312,474,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.3372093023255814
horizon_double,customer_only,6,89,0,0,0,0,0,0,68,0,27,41,0,0,0,0,0,0,0,18,59,86,0,0,59,0,59,0,0.686046511627907,1.0,0.0,0.0,1.0,0.0,0.313953488372093,,,0.3050847457627119,0.3050847457627119,0.4915254237288136,0.0,0.6078206841712297,0.4993811224553977,0.7906976744186046,0.6949152542372882,0.6949152542372882,4.0,4.0,6196,240,0.0,0.686046511627907,0.0,0.686046511627907,0.0,0.313953488372093,0,0,0.0,0.0,,0.0,0.0,0.20930232558139536
horizon_double,both,6,89,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0,0,0,37,86,86,0,0,86,85,38,37,0.4418604651162791,0.4418604651162791,0.9883720930232558,0.8604651162790697,0.08139534883720931,0.05813953488372093,0.0,0.35135135135135137,6.076923076923077,0.13157894736842105,0.3684210526315789,0.3333333333333333,0.0,0.569484881167625,0.5021133591254386,0.5697674418604651,0.5697674418604651,0.631578947368421,6.297297297297297,7.0,4643,497,0.9883720930232558,0.4418604651162791,0.8604651162790697,0.08139534883720931,0.05813953488372093,0.0,26,6,0.3023255813953488,0.06976744186046512,0.35135135135135137,0.8571428571428571,0.43023255813953487,0.43023255813953487
horizon_double,domestic_only,7,89,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,34,84,84,0,0,84,84,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5952380952380952,0.5952380952380952,,5.794117647058823,5.5,4697,460,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.40476190476190477
horizon_double,customer_only,7,89,0,0,0,0,0,0,75,0,35,40,0,0,0,0,0,0,0,9,49,84,0,0,49,0,49,0,0.5833333333333334,1.0,0.0,0.0,1.0,0.0,0.4166666666666667,,,0.1836734693877551,0.1836734693877551,0.4489795918367347,0.0,0.5927308770566536,0.49208679381232184,0.8928571428571429,0.8163265306122449,0.8163265306122449,4.777777777777778,5.0,6794,193,0.0,0.5833333333333334,0.0,0.5833333333333334,0.0,0.4166666666666667,0,0,0.0,0.0,,0.0,0.0,0.10714285714285714
horizon_double,both,7,89,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0,0,0,35,84,84,0,0,84,84,33,33,0.39285714285714285,0.39285714285714285,1.0,0.8333333333333334,0.047619047619047616,0.11904761904761904,0.0,0.2714285714285714,5.842105263157895,0.15151515151515152,0.3333333333333333,0.36363636363636365,0.0,0.5460140513157385,0.4900468045810159,0.5833333333333334,0.5833333333333334,0.6666666666666666,5.742857142857143,6.0,4611,487,1.0,0.39285714285714285,0.8333333333333334,0.047619047619047616,0.11904761904761904,0.0,19,4,0.2261904761904762,0.047619047619047616,0.2714285714285714,1.0,0.39285714285714285,0.4166666666666667
horizon_double,domestic_only,8,89,0,0,0,0,0,0,42,0,0,42,0,0,0,0,0,0,0,29,71,71,0,0,71,71,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5915492957746479,0.5915492957746479,,5.379310344827586,5.0,3936,356,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.4084507042253521
horizon_double,customer_only,8,89,0,0,0,0,0,0,65,0,32,33,0,0,0,0,0,0,0,6,39,71,0,0,39,0,39,0,0.5492957746478874,1.0,0.0,0.0,1.0,0.0,0.4507042253521127,,,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.0,0.5914710962902022,0.5203133087165581,0.9154929577464789,0.8461538461538461,0.8461538461538461,4.5,4.5,5878,135,0.0,0.5492957746478874,0.0,0.5492957746478874,0.0,0.4507042253521127,0,0,0.0,0.0,,0.0,0.0,0.08450704225352113
horizon_double,both,8,89,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,37,71,71,0,0,71,71,26,26,0.36619718309859156,0.36619718309859156,1.0,0.8591549295774648,0.014084507042253521,0.1267605633802817,0.0,0.26229508196721313,5.75,0.23076923076923078,0.5,0.42857142857142855,0.0,0.5931595096931989,0.5225635663799783,0.4788732394366197,0.4788732394366197,0.5,5.54054054054054,6.0,3265,374,1.0,0.36619718309859156,0.8591549295774648,0.014084507042253521,0.1267605633802817,0.0,16,1,0.22535211267605634,0.014084507042253521,0.26229508196721313,1.0,0.36619718309859156,0.5211267605633803
