case_id,employee,firm,created,first_submitted_single,d_submitted_single,e_submitted_single,d_responded_single,e_responded_single,material_at_single,customer_intervened_at_single,d_due_single,e_due_single,d_status_single,e_status_single,resolved_single,resolved_by_single,compensation_single,initial_choice_single,status_single,merit_single,reachable_single,dependence_single,d_finished_single,e_finished_single,d_institution_outcome_single,d_implementation_at_single,processing_time_single,observed_wait_single,dispute_age_observed_single,first_submitted_both,d_submitted_both,e_submitted_both,d_responded_both,e_responded_both,material_at_both,customer_intervened_at_both,d_due_both,e_due_both,d_status_both,e_status_both,resolved_both,resolved_by_both,compensation_both,initial_choice_both,status_both,merit_both,reachable_both,dependence_both,d_finished_both,e_finished_both,d_institution_outcome_both,d_implementation_at_both,processing_time_both,observed_wait_both,dispute_age_observed_both,path_single,path_both
111:0,111,0,0,0,0,,7,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5766195370648515,True,0.47042565019858995,7,,no_remedy,,,44.0,44.0,0,0,0.0,6,2.0,,2.0,,3.0,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.5766195370648515,True,0.47042565019858995,6,3.0,no_remedy,,,44.0,44.0,d_only,simultaneous
112:0,112,2,0,0,0,,7,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.9471728508869972,False,0.6,8,,remedy_supported,8.0,8.0,8.0,8.0,0,0,,7,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.9471728508869972,False,0.6,8,,remedy_supported,8.0,8.0,8.0,8.0,d_only,d_only
113:0,113,4,0,0,0,,7,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7321578856744935,True,0.4162920712285151,7,,no_remedy,,,44.0,44.0,0,4,0.0,7,3.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.7321578856744935,True,0.4162920712285151,7,3.0,no_remedy,,,44.0,44.0,d_only,e_to_d
117:0,117,2,0,0,0,,7,,,,8.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4520993418102399,True,0.6,8,,remedy_supported,8.0,,44.0,44.0,0,0,,7,,,,8.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4520993418102399,True,0.6,8,,remedy_supported,8.0,,44.0,44.0,d_only,d_only
118:0,118,0,0,0,0,,7,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3424592674749437,True,0.47042565019858995,7,,no_remedy,,,44.0,44.0,0,0,8.0,7,10.0,,10.0,,11.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3424592674749437,True,0.47042565019858995,7,11.0,no_remedy,,,44.0,44.0,d_only,d_to_e
11:0,11,0,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3068491472644639,False,0.47042565019858995,2,,no_remedy,,,44.0,44.0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3068491472644639,False,0.47042565019858995,2,,no_remedy,,,44.0,44.0,d_only,d_only
12:0,12,5,0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.5273082560727348,True,0.506188904761806,3,,remedy_supported,3.0,3.0,3.0,3.0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.5273082560727348,True,0.506188904761806,3,,remedy_supported,3.0,3.0,3.0,3.0,d_only,d_only
15:0,15,3,0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9636525868444654,True,0.40760183202748823,3,,remedy_supported,3.0,3.0,3.0,3.0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9636525868444654,True,0.40760183202748823,3,,remedy_supported,3.0,3.0,3.0,3.0,d_only,d_only
16:0,16,3,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4722846063408406,False,0.40760183202748823,2,,no_remedy,,,44.0,44.0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4722846063408406,False,0.40760183202748823,2,,no_remedy,,,44.0,44.0,d_only,d_only
17:0,17,5,0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.47358953296039524,True,0.506188904761806,4,,remedy_supported,4.0,4.0,4.0,4.0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.47358953296039524,True,0.506188904761806,4,,remedy_supported,4.0,4.0,4.0,4.0,d_only,d_only
19:0,19,4,0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7665179959059183,True,0.4162920712285151,3,,no_remedy,,,44.0,44.0,0,0,4.0,3,6.0,,6.0,,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.7665179959059183,True,0.4162920712285151,3,7.0,no_remedy,,,44.0,44.0,d_only,d_to_e
1:0,1,5,0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.42403633705529986,True,0.506188904761806,3,,remedy_supported,3.0,3.0,3.0,3.0,0,0,0.0,2,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.42403633705529986,True,0.506188904761806,3,3.0,remedy_supported,3.0,3.0,3.0,3.0,d_only,simultaneous
20:0,20,4,0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3300545909333682,True,0.4162920712285151,3,,no_remedy,,,44.0,44.0,0,0,4.0,3,6.0,,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.3300545909333682,True,0.4162920712285151,3,7.0,no_remedy,,7.0,7.0,7.0,d_only,d_to_e
21:0,21,4,0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.8922244628158189,True,0.4162920712285151,4,,remedy_supported,4.0,4.0,4.0,4.0,0,0,0.0,3,2.0,,2.0,4.0,3.0,cancelled_by_resolution,successful,3.0,e,1.0,d+e,resolved,0.8922244628158189,True,0.4162920712285151,3,3.0,remedy_supported,,3.0,3.0,3.0,d_only,simultaneous
22:0,22,3,0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.8932192284287896,True,0.40760183202748823,4,,remedy_supported,4.0,4.0,4.0,4.0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.8932192284287896,True,0.40760183202748823,4,,remedy_supported,4.0,4.0,4.0,4.0,d_only,d_only
24:0,24,3,0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.40228009063611153,True,0.40760183202748823,4,,remedy_supported,4.0,4.0,4.0,4.0,0,0,,3,,,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.40228009063611153,True,0.40760183202748823,4,,remedy_supported,4.0,4.0,4.0,4.0,d_only,d_only
27:0,27,2,0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.23505082056970572,True,0.6,3,,no_remedy,,,44.0,44.0,0,0,4.0,3,6.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.23505082056970572,True,0.6,3,6.0,no_remedy,,,44.0,44.0,d_only,d_to_e
30:0,30,0,0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.812423584071269,True,0.47042565019858995,3,,no_remedy,,,44.0,44.0,0,0,4.0,3,6.0,,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.812423584071269,True,0.47042565019858995,3,7.0,no_remedy,,7.0,7.0,7.0,d_only,d_to_e
31:0,31,3,0,0,0,,3,,,,4.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9469976583411543,True,0.40760183202748823,4,,remedy_supported,4.0,,44.0,44.0,0,0,0.0,3,2.0,,2.0,4.0,3.0,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.9469976583411543,True,0.40760183202748823,4,3.0,remedy_supported,4.0,,44.0,44.0,d_only,simultaneous
35:0,35,5,0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.24004808460833615,True,0.506188904761806,3,,no_remedy,,,44.0,44.0,0,0,4.0,3,6.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.24004808460833615,True,0.506188904761806,3,6.0,no_remedy,,,44.0,44.0,d_only,d_to_e
37:0,37,5,0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9605148714067651,False,0.506188904761806,3,,no_remedy,,,44.0,44.0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9605148714067651,False,0.506188904761806,3,,no_remedy,,,44.0,44.0,d_only,d_only
39:0,39,3,0,0,0,,3,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.29980267696089175,True,0.40760183202748823,3,,no_remedy,,,44.0,44.0,0,0,4.0,3,6.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.29980267696089175,True,0.40760183202748823,3,6.0,no_remedy,,,44.0,44.0,d_only,d_to_e
3:0,3,4,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.21223919630908938,True,0.4162920712285151,2,,no_remedy,,,44.0,44.0,0,0,3.0,2,5.0,,5.0,,6.0,closed_unresolved,successful,6.0,e,1.0,d,resolved,0.21223919630908938,True,0.4162920712285151,2,6.0,no_remedy,,6.0,6.0,6.0,d_only,d_to_e
42:0,42,2,0,0,0,,4,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5181381035783981,True,0.6,4,,no_remedy,,,44.0,44.0,0,3,0.0,7,2.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.5181381035783981,True,0.6,7,2.0,no_remedy,,,44.0,44.0,d_only,e_to_d
45:0,45,0,0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9062133005588473,True,0.47042565019858995,5,,remedy_supported,5.0,5.0,5.0,5.0,0,0,4.0,4,,,,5.0,,successful,cancelled_by_resolution,5.0,d,1.0,d,resolved,0.9062133005588473,True,0.47042565019858995,5,5.0,remedy_supported,5.0,5.0,5.0,5.0,d_only,d_to_e
46:0,46,2,0,0,0,,4,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6022381767052344,True,0.6,4,,no_remedy,,,44.0,44.0,0,3,0.0,7,2.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6022381767052344,True,0.6,7,2.0,no_remedy,,,44.0,44.0,d_only,e_to_d
49:0,49,2,0,0,0,,4,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5966172958732835,True,0.6,4,,no_remedy,,,44.0,44.0,0,0,5.0,4,7.0,,7.0,,8.0,closed_unresolved,successful,8.0,e,1.0,d,resolved,0.5966172958732835,True,0.6,4,8.0,no_remedy,,8.0,8.0,8.0,d_only,d_to_e
50:0,50,5,0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9418125466328746,True,0.506188904761806,5,,remedy_supported,5.0,5.0,5.0,5.0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9418125466328746,True,0.506188904761806,5,,remedy_supported,5.0,5.0,5.0,5.0,d_only,d_only
52:0,52,1,0,0,0,,4,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9696043638289182,True,0.5994915417836008,4,,no_remedy,,,44.0,44.0,0,0,5.0,4,7.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9696043638289182,True,0.5994915417836008,4,7.0,no_remedy,,,44.0,44.0,d_only,d_to_e
54:0,54,3,0,0,0,,4,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9312490218410299,True,0.40760183202748823,4,,no_remedy,,,44.0,44.0,0,3,0.0,7,2.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9312490218410299,True,0.40760183202748823,7,2.0,no_remedy,,,44.0,44.0,d_only,e_to_d
57:0,57,3,0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.5835548832989768,False,0.40760183202748823,5,,remedy_supported,5.0,5.0,5.0,5.0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.5835548832989768,False,0.40760183202748823,5,,remedy_supported,5.0,5.0,5.0,5.0,d_only,d_only
58:0,58,0,0,0,0,,4,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6648866098493449,True,0.47042565019858995,4,,no_remedy,,,44.0,44.0,0,0,5.0,4,7.0,,7.0,,8.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6648866098493449,True,0.47042565019858995,4,8.0,no_remedy,,,44.0,44.0,d_only,d_to_e
59:0,59,2,0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6943385467328902,True,0.6,5,,remedy_supported,5.0,5.0,5.0,5.0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6943385467328902,True,0.6,5,,remedy_supported,5.0,5.0,5.0,5.0,d_only,d_only
5:0,5,0,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4851427568135255,False,0.47042565019858995,2,,no_remedy,,,44.0,44.0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4851427568135255,False,0.47042565019858995,2,,no_remedy,,,44.0,44.0,d_only,d_only
60:0,60,2,0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6451244971410584,True,0.6,5,,remedy_supported,5.0,5.0,5.0,5.0,0,3,0.0,7,2.0,,,8.0,,successful,closed_unresolved,8.0,d,1.0,e,resolved,0.6451244971410584,True,0.6,8,2.0,remedy_supported,8.0,8.0,8.0,8.0,d_only,e_to_d
61:0,61,0,0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9596398737119458,True,0.47042565019858995,5,,remedy_supported,5.0,5.0,5.0,5.0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9596398737119458,True,0.47042565019858995,5,,remedy_supported,5.0,5.0,5.0,5.0,d_only,d_only
62:0,62,1,0,0,0,,5,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5080031486909644,True,0.5994915417836008,5,,no_remedy,,,44.0,44.0,0,0,0.0,4,2.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.5080031486909644,True,0.5994915417836008,4,2.0,no_remedy,,,44.0,44.0,d_only,simultaneous
68:0,68,5,0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.6434450740162051,True,0.506188904761806,6,,remedy_supported,6.0,6.0,6.0,6.0,0,0,5.0,4,7.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6434450740162051,True,0.506188904761806,4,7.0,no_remedy,,,44.0,44.0,d_only,d_to_e
69:0,69,0,0,0,0,,5,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9149858922629852,True,0.47042565019858995,5,,no_remedy,,,44.0,44.0,0,0,5.0,4,7.0,,7.0,,8.0,closed_unresolved,successful,8.0,e,1.0,d,resolved,0.9149858922629852,True,0.47042565019858995,4,8.0,no_remedy,,8.0,8.0,8.0,d_only,d_to_e
6:0,6,1,0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9052472326700784,True,0.5994915417836008,3,,remedy_supported,3.0,3.0,3.0,3.0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.9052472326700784,True,0.5994915417836008,3,,remedy_supported,3.0,3.0,3.0,3.0,d_only,d_only
70:0,70,1,0,0,0,,5,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8472291736018014,True,0.5994915417836008,5,,no_remedy,,,44.0,44.0,0,0,,4,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.8472291736018014,True,0.5994915417836008,5,,remedy_supported,5.0,5.0,5.0,5.0,d_only,d_only
71:0,71,0,0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.5421108680144316,True,0.47042565019858995,6,,remedy_supported,6.0,6.0,6.0,6.0,0,0,6.0,5,,,,6.0,,successful,cancelled_by_resolution,6.0,d,1.0,d,resolved,0.5421108680144316,True,0.47042565019858995,6,6.0,remedy_supported,6.0,6.0,6.0,6.0,d_only,d_to_e
73:0,73,5,0,0,0,,5,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4398843340243584,True,0.506188904761806,5,,no_remedy,,,44.0,44.0,0,0,4.0,5,6.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.4398843340243584,True,0.506188904761806,5,6.0,no_remedy,,,44.0,44.0,d_only,d_to_e
75:0,75,3,0,0,0,,5,,,,6.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.38056012843572185,True,0.40760183202748823,6,,remedy_supported,6.0,,44.0,44.0,0,0,0.0,5,2.0,,2.0,6.0,3.0,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.38056012843572185,True,0.40760183202748823,6,3.0,remedy_supported,6.0,,44.0,44.0,d_only,simultaneous
76:0,76,2,0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.6959689137536169,True,0.6,6,,remedy_supported,6.0,6.0,6.0,6.0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.6959689137536169,True,0.6,6,,remedy_supported,6.0,6.0,6.0,6.0,d_only,d_only
77:0,77,5,0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.2708541504726042,True,0.506188904761806,6,,remedy_supported,6.0,6.0,6.0,6.0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.2708541504726042,True,0.506188904761806,6,,remedy_supported,6.0,6.0,6.0,6.0,d_only,d_only
78:0,78,4,0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.873517646547888,False,0.4162920712285151,6,,remedy_supported,6.0,6.0,6.0,6.0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.873517646547888,False,0.4162920712285151,6,,remedy_supported,6.0,6.0,6.0,6.0,d_only,d_only
79:0,79,0,0,0,0,,5,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.45041942962650766,True,0.47042565019858995,5,,no_remedy,,,44.0,44.0,0,0,6.0,5,8.0,,8.0,,9.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.45041942962650766,True,0.47042565019858995,5,9.0,no_remedy,,,44.0,44.0,d_only,d_to_e
7:0,7,0,0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.43136060466874526,True,0.47042565019858995,3,,remedy_supported,3.0,3.0,3.0,3.0,0,0,0.0,2,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.43136060466874526,True,0.47042565019858995,3,3.0,remedy_supported,3.0,3.0,3.0,3.0,d_only,simultaneous
82:0,82,4,0,0,0,,5,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2545469766510456,True,0.4162920712285151,5,,no_remedy,,,44.0,44.0,0,0,5.0,5,7.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.2545469766510456,True,0.4162920712285151,5,7.0,no_remedy,,,44.0,44.0,d_only,d_to_e
83:0,83,5,0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5415892646915648,True,0.506188904761806,6,,no_remedy,,,44.0,44.0,0,0,,5,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.5415892646915648,True,0.506188904761806,6,,remedy_supported,6.0,6.0,6.0,6.0,d_only,d_only
85:0,85,2,0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.31254583059964214,True,0.6,7,,remedy_supported,7.0,7.0,7.0,7.0,0,0,6.0,5,8.0,,8.0,,9.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.31254583059964214,True,0.6,5,9.0,no_remedy,,,44.0,44.0,d_only,d_to_e
88:0,88,4,0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.27828789082103156,True,0.4162920712285151,6,,no_remedy,,,44.0,44.0,0,0,4.0,5,6.0,,,6.0,,successful,closed_unresolved,6.0,d,1.0,d,resolved,0.27828789082103156,True,0.4162920712285151,6,6.0,remedy_supported,6.0,6.0,6.0,6.0,d_only,d_to_e
89:0,89,4,0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.5989296546636256,False,0.4162920712285151,7,,remedy_supported,7.0,7.0,7.0,7.0,0,0,,5,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5989296546636256,False,0.4162920712285151,5,,no_remedy,,,44.0,44.0,d_only,d_only
8:0,8,0,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3960478194003253,True,0.47042565019858995,2,,no_remedy,,,44.0,44.0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3960478194003253,True,0.47042565019858995,2,,no_remedy,,,44.0,44.0,d_only,d_only
90:0,90,5,0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6178074463153476,True,0.506188904761806,6,,no_remedy,,,44.0,44.0,0,0,7.0,6,9.0,,9.0,,10.0,closed_unresolved,successful,10.0,e,1.0,d,resolved,0.6178074463153476,True,0.506188904761806,6,10.0,no_remedy,,10.0,10.0,10.0,d_only,d_to_e
91:0,91,5,0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4788570711031347,True,0.506188904761806,6,,no_remedy,,,44.0,44.0,0,4,0.0,7,2.0,,2.0,,3.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.4788570711031347,True,0.506188904761806,7,3.0,no_remedy,,,44.0,44.0,d_only,e_to_d
92:0,92,4,0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.5847470334629051,True,0.4162920712285151,7,,remedy_supported,7.0,7.0,7.0,7.0,0,0,4.0,6,6.0,,,7.0,,successful,closed_unresolved,7.0,d,1.0,d,resolved,0.5847470334629051,True,0.4162920712285151,7,6.0,remedy_supported,7.0,7.0,7.0,7.0,d_only,d_to_e
99:0,99,3,0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6970744005175319,False,0.40760183202748823,7,,remedy_supported,7.0,7.0,7.0,7.0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6970744005175319,False,0.40760183202748823,7,,remedy_supported,7.0,7.0,7.0,7.0,d_only,d_only
