time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,mean_belief_d,mean_belief_e,informed_share,disputed_share,block,arm,seed
17,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,1,11,11,1,0,0.45602163646023824,0.451172748634774,0.0,0.4166666666666667,main,unchanged,1
0,7,7,7,5,5,0,7,7,0,0,5,5,0,0,0,5,0,0,7,7,0,0,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,no_notice,0
1,0,0,0,0,0,0,7,7,0,0,5,5,0,0,0,5,0,0,7,7,5,5,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,no_notice,0
2,1,1,1,1,0,0,8,6,0,2,2,1,1,1,0,4,0,0,8,8,5,5,0.4367490581253664,0.4675723531046178,0.0,0.3333333333333333,main,no_notice,0
3,1,1,1,2,1,2,7,4,0,3,3,3,0,0,0,1,2,2,9,9,6,5,0.40674774470202646,0.45541076586004253,0.0,0.375,main,no_notice,0
4,1,1,1,0,1,0,8,4,0,4,2,2,0,0,0,2,0,2,10,10,3,1,0.40150502553953055,0.47387785420047207,0.0,0.3333333333333333,main,no_notice,0
5,0,0,0,0,1,1,8,3,0,5,1,0,1,1,0,2,0,2,10,10,3,2,0.3987337637068044,0.47387785420047207,0.0,0.3333333333333333,main,no_notice,0
6,1,1,1,1,1,0,8,3,0,5,1,1,0,0,1,3,1,3,10,11,2,3,0.41365011474702745,0.4808531955767535,0.0,0.375,main,no_notice,0
7,1,1,1,0,1,0,8,3,0,5,1,1,0,0,0,3,1,4,10,12,1,3,0.4352118357030809,0.4634010309075007,0.0,0.375,main,no_notice,0
8,0,0,0,0,0,0,7,1,0,6,0,0,0,0,0,1,1,5,10,12,1,3,0.44304355213204505,0.47139409668053406,0.0,0.3333333333333333,main,no_notice,0
9,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,5,10,12,1,2,0.4407293221108997,0.47308159310241343,0.0,0.2916666666666667,main,no_notice,0
10,1,1,1,1,0,0,8,1,0,7,1,1,0,0,0,0,0,5,11,13,0,1,0.4246387038991086,0.4553400532839515,0.0,0.3333333333333333,main,no_notice,0
11,2,2,2,2,0,0,10,3,0,7,3,3,0,0,0,0,0,5,12,15,1,0,0.4246387038991086,0.4481874961007763,0.0,0.4166666666666667,main,no_notice,0
12,0,0,0,0,0,0,10,3,0,7,3,2,1,1,0,0,0,5,12,15,3,0,0.4367490581253664,0.44809416396292073,0.0,0.4166666666666667,main,no_notice,0
13,1,1,1,0,1,0,10,1,0,9,0,0,0,0,1,1,1,6,13,16,3,0,0.4367490581253664,0.4675723531046178,0.0,0.4583333333333333,main,no_notice,0
14,0,0,0,1,2,3,10,4,0,6,1,1,0,0,0,3,0,6,13,16,2,1,0.42383429423313895,0.4675723531046178,0.0,0.4166666666666667,main,no_notice,0
15,1,1,1,0,1,0,11,4,0,7,1,1,0,0,0,3,0,6,14,17,1,3,0.42383429423313895,0.4675723531046178,0.0,0.4583333333333333,main,no_notice,0
16,0,0,0,1,0,1,11,5,0,6,2,1,1,1,0,3,0,6,14,17,1,4,0.42383429423313895,0.4619092990209124,0.0,0.4583333333333333,main,no_notice,0
17,1,1,1,1,0,0,10,3,0,7,2,2,0,0,1,1,2,8,14,18,2,3,0.4367490581253664,0.4619092990209124,0.0,0.5,main,no_notice,0
0,5,5,5,4,1,0,5,5,0,0,4,4,0,0,0,1,0,0,5,5,0,0,0.447479446485868,0.451172748634774,0.0,0.20833333333333334,main,no_notice,1
1,0,0,0,0,0,0,5,5,0,0,4,4,0,0,0,1,0,0,5,5,4,1,0.447479446485868,0.451172748634774,0.0,0.20833333333333334,main,no_notice,1
2,3,3,3,3,0,0,8,4,0,4,4,3,1,1,0,0,0,0,8,8,4,1,0.447479446485868,0.451172748634774,0.0,0.3333333333333333,main,no_notice,1
3,0,0,0,1,2,3,8,6,0,2,4,4,0,0,0,2,0,0,8,8,7,1,0.43662412823416547,0.43887561695142646,0.0,0.3333333333333333,main,no_notice,1
4,0,0,0,0,0,0,8,4,0,4,2,1,1,1,0,2,0,0,8,8,4,2,0.4316105801587912,0.43887561695142646,0.0,0.3333333333333333,main,no_notice,1
5,0,0,0,0,0,0,7,0,0,7,0,0,0,0,1,0,1,1,8,8,4,2,0.41740323339224017,0.43887561695142646,0.0,0.3333333333333333,main,no_notice,1
6,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,1,8,8,1,2,0.4245014026833667,0.43909263663303905,0.0,0.2916666666666667,main,no_notice,1
7,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,1,8,8,0,0,0.42802442591009343,0.43909263663303905,0.0,0.2916666666666667,main,no_notice,1
8,1,1,1,1,0,0,8,1,0,7,1,1,0,0,0,0,0,1,9,9,0,0,0.44566606461547176,0.43909263663303905,0.0,0.3333333333333333,main,no_notice,1
9,0,0,0,0,0,0,8,1,0,7,1,1,0,0,0,0,0,1,9,9,1,0,0.447479446485868,0.451172748634774,0.0,0.3333333333333333,main,no_notice,1
10,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,1,9,9,1,0,0.447479446485868,0.451172748634774,0.0,0.3333333333333333,main,no_notice,1
11,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,1,9,9,1,0,0.4378582648994236,0.451172748634774,0.0,0.3333333333333333,main,no_notice,1
12,1,1,1,1,0,0,9,1,0,8,1,1,0,0,0,0,0,1,10,10,0,0,0.4378582648994236,0.451172748634774,0.0,0.375,main,no_notice,1
13,0,0,0,0,0,0,9,1,0,8,1,1,0,0,0,0,0,1,10,10,1,0,0.4378582648994236,0.451172748634774,0.0,0.375,main,no_notice,1
14,1,1,1,1,0,0,10,2,0,8,2,1,1,1,0,0,0,1,11,11,1,0,0.447479446485868,0.451172748634774,0.0,0.4166666666666667,main,no_notice,1
15,0,0,0,0,0,0,9,1,0,8,1,1,0,0,1,0,1,2,11,11,2,0,0.447479446485868,0.451172748634774,0.0,0.4166666666666667,main,no_notice,1
16,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,0.468342497405379,0.451172748634774,0.0,0.375,main,no_notice,1
17,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,0.45602163646023824,0.451172748634774,0.0,0.375,main,no_notice,1
0,7,7,7,5,5,0,7,7,0,0,5,5,0,0,0,5,0,0,7,7,0,0,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,immediate,0
1,0,0,0,0,0,0,7,7,0,0,5,5,0,0,0,5,0,0,7,7,5,5,0.4367490581253664,0.4675723531046178,0.0,0.2916666666666667,main,immediate,0
2,1,1,1,1,0,0,8,6,0,2,2,1,1,1,0,4,0,0,8,8,5,5,0.4367490581253664,0.4675723531046178,0.0,0.3333333333333333,main,immediate,0
3,1,1,1,2,1,2,7,4,0,3,3,3,0,0,0,1,2,2,9,9,6,5,0.40674774470202646,0.45541076586004253,0.0,0.375,main,immediate,0
4,1,1,1,1,1,0,8,4,0,4,3,3,0,0,0,2,0,2,10,10,3,1,0.6578216922061972,0.47387785420047207,1.0,0.3333333333333333,main,immediate,0
5,0,0,0,0,1,1,8,3,0,5,2,1,1,1,0,2,0,2,10,10,4,2,0.6529504303734711,0.47387785420047207,1.0,0.3333333333333333,main,immediate,0
6,1,1,1,1,0,0,8,3,0,5,1,1,0,0,1,2,1,3,10,11,3,3,0.6779001147470275,0.4808531955767535,1.0,0.375,main,immediate,0
7,1,1,1,0,1,0,8,3,0,5,1,1,0,0,0,2,1,4,10,12,2,2,0.6866486693450948,0.4634010309075007,1.0,0.375,main,immediate,0
8,0,0,0,0,0,0,7,1,0,6,0,0,0,0,0,1,1,5,10,12,1,2,0.6984795181737528,0.47139409668053406,1.0,0.3333333333333333,main,immediate,0
9,0,0,0,0,1,1,7,1,0,6,0,0,0,0,0,1,0,5,10,12,1,1,0.6968324620092642,0.4867981183892711,1.0,0.2916666666666667,main,immediate,0
10,1,1,1,2,0,1,8,3,0,5,2,2,0,0,0,1,0,5,11,13,0,2,0.696472037232442,0.4672979389979331,1.0,0.3333333333333333,main,immediate,0
11,2,2,2,2,0,0,10,4,0,6,4,4,0,0,0,0,0,5,12,15,2,1,0.696472037232442,0.4602893804953055,1.0,0.4166666666666667,main,immediate,0
12,0,0,0,0,0,0,10,3,0,7,3,2,1,1,0,0,0,5,12,15,4,1,0.7167490581253664,0.4368378833249442,1.0,0.4166666666666667,main,immediate,0
13,1,1,1,1,0,0,10,1,0,9,1,1,0,0,1,0,1,6,13,16,4,0,0.6881884946957264,0.4544431141012435,1.0,0.4583333333333333,main,immediate,0
14,0,0,0,0,2,2,10,3,0,7,1,1,0,0,0,2,0,6,13,16,3,0,0.666719016872106,0.4544431141012435,1.0,0.4166666666666667,main,immediate,0
15,1,1,1,1,0,0,11,4,0,7,2,1,1,1,0,2,0,6,14,17,1,2,0.666719016872106,0.4675723531046178,1.0,0.4583333333333333,main,immediate,0
