block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,t0_first_e,t0_first_both,t0_first_count,pre_first_e,pre_first_both,pre_first_count,post_first_e,post_first_both,post_first_count,pre_domestic_cohort_count,pre_domestic_later_e,post_customer_submissions,post_mean_belief_d,final_belief_d,final_informed
closed_cohort,no_notice,0,17,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,2,7,7,0,0,7,6,6,5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5674804579588179,0.4814253432375044,0.7142857142857143,0.7142857142857143,0.6666666666666666,3.0,3.0,96,23,0.2857142857142857,0.42857142857142855,7,0.2857142857142857,0.42857142857142855,7,,,0,2,0.0,0,0.4290091536589769,0.4367490581253664,0.0
closed_cohort,no_notice,1,17,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,5,3,3,0.6,0.6,1.0,0.8,0.2,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,1.0,1.0,1.0,,,90,17,0.2,0.0,5,0.2,0.0,5,,,0,4,0.0,0,0.442096022158855,0.447479446485868,0.0
closed_cohort,immediate,0,17,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,2,7,7,0,0,7,6,6,5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5674804579588179,0.4814253432375044,0.7142857142857143,0.7142857142857143,0.6666666666666666,3.0,3.0,96,23,0.2857142857142857,0.42857142857142855,7,0.2857142857142857,0.42857142857142855,7,,,0,2,0.0,0,0.7037924869923102,0.7167490581253664,1.0
closed_cohort,immediate,1,17,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,5,3,3,0.6,0.6,1.0,0.8,0.2,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,1.0,1.0,1.0,,,90,17,0.2,0.0,5,0.2,0.0,5,,,0,4,0.0,0,0.718421022158855,0.727479446485868,1.0
closed_cohort,network_notice,0,17,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,2,7,7,0,0,7,6,6,5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5674804579588179,0.4814253432375044,0.7142857142857143,0.7142857142857143,0.6666666666666666,3.0,3.0,96,23,0.2857142857142857,0.42857142857142855,7,0.2857142857142857,0.42857142857142855,7,,,0,2,0.0,0,0.6405091536589769,0.7167490581253664,1.0
closed_cohort,network_notice,1,17,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,5,3,3,0.6,0.6,1.0,0.8,0.2,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,1.0,1.0,1.0,,,90,17,0.2,0.0,5,0.2,0.0,5,,,0,4,0.0,0,0.648196022158855,0.7158127798192013,0.9583333333333334
network_ws,unchanged,0,17,0,0,0,0,0,0,11,2,0,9,1,1,0,0,0,1,1,6,14,17,1,3,17,13,14,10,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.4117647058823529,0.35294117647058826,0.23529411764705882,0.0,0.5714285714285714,3.0,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.14285714285714285,0.6082641924080098,0.49040401273393425,0.6470588235294118,0.6470588235294118,0.6428571428571429,4.0,3.0,160,57,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.5,0.125,8,4,0.25,8,0.4240945810156584,0.4367490581253664,0.0
network_ws,unchanged,1,17,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,1,11,11,1,0,11,11,3,3,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,0.9090909090909091,0.9090909090909091,1.0,3.0,3.0,155,30,0.2,0.0,5,0.125,0.0,8,0.0,0.0,3,7,0.0,0,0.43634951957365364,0.44792764840274374,0.0
network_ws,no_notice,0,17,1,1,1,1,0,0,11,3,0,8,2,2,0,0,0,1,1,7,14,18,1,3,18,14,14,10,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,0.5,3.0,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.14285714285714285,0.6082641924080098,0.49040401273393425,0.6111111111111112,0.6111111111111112,0.6428571428571429,3.857142857142857,3.0,156,59,0.2857142857142857,0.42857142857142855,7,0.2222222222222222,0.3333333333333333,9,0.4444444444444444,0.1111111111111111,9,4,0.25,8,0.4266148942721821,0.4367490581253664,0.0
network_ws,no_notice,1,17,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,2,11,11,1,0,11,11,3,3,0.2727272727272727,0.2727272727272727,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.2,3.0,0.0,0.0,0.0,0.3333333333333333,0.37714993339662906,0.49380576785863317,0.8181818181818182,0.8181818181818182,1.0,3.0,3.0,142,31,0.2,0.0,5,0.125,0.0,8,0.0,0.0,3,7,0.0,0,0.43903662091849616,0.44792764840274374,0.0
