time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,scenario,seed
0,101,7,0,7,101,7,0,0,7,101,94,101,94,0,7,0,0,no_response,0
1,0,7,7,7,101,14,0,0,14,101,87,94,87,0,7,0,0,no_response,0
2,0,7,14,7,101,21,0,0,21,101,80,87,80,0,7,0,0,no_response,0
3,0,7,21,7,101,28,0,0,28,101,73,80,73,0,7,0,0,no_response,0
4,0,8,28,8,101,36,0,0,36,101,65,73,65,0,8,0,0,no_response,0
5,0,13,36,13,101,49,0,0,49,101,52,65,52,0,13,0,0,no_response,0
6,0,20,49,20,101,69,0,0,69,101,32,52,32,0,20,0,0,no_response,0
7,0,19,69,19,101,88,0,0,88,101,13,32,13,0,19,0,0,no_response,0
8,0,8,88,8,101,96,0,0,96,101,5,13,5,0,8,0,0,no_response,0
9,0,2,96,2,101,98,0,0,98,101,3,5,3,0,2,0,0,no_response,0
10,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
11,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
12,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
13,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
14,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
15,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
16,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
17,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
18,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
19,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
20,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
21,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
22,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
23,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
24,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
25,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
26,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
27,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
28,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
29,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
30,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
31,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
32,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
33,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
34,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
35,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
36,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
37,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
38,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
39,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
40,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
41,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
42,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
43,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
44,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
45,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
46,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
47,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
48,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
49,0,0,98,0,101,98,0,0,98,101,3,3,3,0,0,0,0,no_response,0
0,84,8,0,8,84,8,0,0,8,84,76,84,76,0,8,0,0,no_response,1
1,0,6,8,6,84,14,0,0,14,84,70,76,70,0,6,0,0,no_response,1
2,0,4,14,4,84,18,0,0,18,84,66,70,66,0,4,0,0,no_response,1
3,0,4,18,4,84,22,0,0,22,84,62,66,62,0,4,0,0,no_response,1
4,0,4,22,4,84,26,0,0,26,84,58,62,58,0,4,0,0,no_response,1
5,0,10,26,10,84,36,0,0,36,84,48,58,48,0,10,0,0,no_response,1
6,0,15,36,15,84,51,0,0,51,84,33,48,33,0,15,0,0,no_response,1
7,0,11,51,11,84,62,0,0,62,84,22,33,22,0,11,0,0,no_response,1
8,0,8,62,8,84,70,0,0,70,84,14,22,14,0,8,0,0,no_response,1
9,0,4,70,4,84,74,0,0,74,84,10,14,10,0,4,0,0,no_response,1
10,0,2,74,2,84,76,0,0,76,84,8,10,8,0,2,0,0,no_response,1
11,0,1,76,1,84,77,0,0,77,84,7,8,7,0,1,0,0,no_response,1
12,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
13,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
14,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
15,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
16,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
17,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
18,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
19,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
20,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
21,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
22,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
23,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
24,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
25,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
26,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
27,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
28,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
29,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
30,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
31,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
32,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
33,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
34,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
35,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
36,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
37,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
38,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
39,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
40,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
41,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
42,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
43,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
44,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
45,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
46,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
47,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
48,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
49,0,0,77,0,84,77,0,0,77,84,7,7,7,0,0,0,0,no_response,1
0,92,10,0,10,92,10,0,0,10,92,82,92,82,0,10,0,0,no_response,2
1,0,12,10,12,92,22,0,0,22,92,70,82,70,0,12,0,0,no_response,2
2,0,14,22,14,92,36,0,0,36,92,56,70,56,0,14,0,0,no_response,2
3,0,21,36,21,92,57,0,0,57,92,35,56,35,0,21,0,0,no_response,2
4,0,16,57,16,92,73,0,0,73,92,19,35,19,0,16,0,0,no_response,2
5,0,12,73,12,92,85,0,0,85,92,7,19,7,0,12,0,0,no_response,2
6,0,4,85,4,92,89,0,0,89,92,3,7,3,0,4,0,0,no_response,2
7,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
8,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
9,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
10,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
11,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
12,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
13,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
14,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
15,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
16,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
17,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
18,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
19,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
20,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
21,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
22,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
23,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
24,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
25,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
26,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
27,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
28,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
29,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
30,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
31,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
32,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
33,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
34,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
35,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
36,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
37,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
38,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
39,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
40,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
41,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
42,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
43,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
44,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
45,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
46,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
47,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
48,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
49,0,0,89,0,92,89,0,0,89,92,3,3,3,0,0,0,0,no_response,2
0,89,4,0,4,89,4,0,0,4,89,85,89,85,0,4,0,0,no_response,3
1,0,2,4,2,89,6,0,0,6,89,83,85,83,0,2,0,0,no_response,3
2,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
3,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
4,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
5,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
6,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
7,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
8,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
9,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
10,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
11,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
12,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
13,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
14,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
15,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
16,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
17,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
18,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
19,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
20,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
21,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
22,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
23,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
24,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
25,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
26,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
27,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
28,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
29,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
30,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
31,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
32,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
33,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
34,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
35,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
36,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
37,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
38,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
39,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
40,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
41,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
42,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
43,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
44,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
45,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
46,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
47,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
48,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
49,0,0,6,0,89,6,0,0,6,89,83,83,83,0,0,0,0,no_response,3
0,102,7,0,7,102,7,0,0,7,102,95,102,95,0,7,0,0,no_response,4
1,0,9,7,9,102,16,0,0,16,102,86,95,86,0,9,0,0,no_response,4
2,0,12,16,12,102,28,0,0,28,102,74,86,74,0,12,0,0,no_response,4
3,0,18,28,18,102,46,0,0,46,102,56,74,56,0,18,0,0,no_response,4
4,0,24,46,24,102,70,0,0,70,102,32,56,32,0,24,0,0,no_response,4
5,0,17,70,17,102,87,0,0,87,102,15,32,15,0,17,0,0,no_response,4
6,0,9,87,9,102,96,0,0,96,102,6,15,6,0,9,0,0,no_response,4
7,0,3,96,3,102,99,0,0,99,102,3,6,3,0,3,0,0,no_response,4
8,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
9,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
10,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
11,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
12,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
13,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
14,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
15,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
16,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
17,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
18,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
19,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
20,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
21,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
22,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
23,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
24,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
25,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
26,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
27,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
28,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
29,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
30,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
31,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
32,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
33,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
34,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
35,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
36,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
37,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
38,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
39,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
40,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
41,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
42,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
43,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
44,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
45,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
46,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
47,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
48,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
49,0,0,99,0,102,99,0,0,99,102,3,3,3,0,0,0,0,no_response,4
0,96,6,0,6,96,6,0,0,6,96,90,96,90,0,6,0,0,no_response,5
1,0,6,6,6,96,12,0,0,12,96,84,90,84,0,6,0,0,no_response,5
2,0,10,12,10,96,22,0,0,22,96,74,84,74,0,10,0,0,no_response,5
3,0,11,22,11,96,33,0,0,33,96,63,74,63,0,11,0,0,no_response,5
4,0,18,33,18,96,51,0,0,51,96,45,63,45,0,18,0,0,no_response,5
5,0,19,51,19,96,70,0,0,70,96,26,45,26,0,19,0,0,no_response,5
6,0,10,70,10,96,80,0,0,80,96,16,26,16,0,10,0,0,no_response,5
7,0,11,80,11,96,91,0,0,91,96,5,16,5,0,11,0,0,no_response,5
8,0,4,91,4,96,95,0,0,95,96,1,5,1,0,4,0,0,no_response,5
9,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
10,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
11,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
12,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
13,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
14,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
15,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
16,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
17,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
18,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
19,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
20,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
21,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
22,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
23,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
24,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
25,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
26,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
27,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
28,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
29,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
30,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
31,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
32,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
33,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
34,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
35,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
36,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
37,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
38,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
39,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
40,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
41,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
42,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
43,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
44,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
45,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
46,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
47,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
48,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
49,0,0,95,0,96,95,0,0,95,96,1,1,1,0,0,0,0,no_response,5
0,94,14,0,14,94,14,0,0,14,94,80,94,80,0,14,0,0,no_response,6
1,0,15,14,15,94,29,0,0,29,94,65,80,65,0,15,0,0,no_response,6
2,0,15,29,15,94,44,0,0,44,94,50,65,50,0,15,0,0,no_response,6
3,0,17,44,17,94,61,0,0,61,94,33,50,33,0,17,0,0,no_response,6
4,0,14,61,14,94,75,0,0,75,94,19,33,19,0,14,0,0,no_response,6
5,0,11,75,11,94,86,0,0,86,94,8,19,8,0,11,0,0,no_response,6
6,0,1,86,1,94,87,0,0,87,94,7,8,7,0,1,0,0,no_response,6
7,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
8,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
9,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
10,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
11,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
12,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
13,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
14,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
15,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
16,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
17,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
18,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
19,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
20,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
21,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
22,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
23,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
24,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
25,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
26,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
27,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
28,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
29,0,0,87,0,94,87,0,0,87,94,7,7,7,0,0,0,0,no_response,6
